No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
116,H_2S(4) (Spitzer),1.4492E-12,+/-1.504E-13,erg/s/cm^2^,3.75E13,0.00386,4.01E-4,4.01E-4,,,+/-4.01E-04,Jy,2014ApJ...790..124S,uncertainty,8.0 microns,Broad-band measurement,,From fitting to map,,From new raw data
119,H_2S(3) (Spitzer),3.408E-13,+/-0.551E-13,erg/s/cm^2^,3.09E13,0.0011,1.78E-4,1.78E-4,,,+/-1.78E-04,Jy,2014ApJ...790..124S,uncertainty,9.7 microns,Broad-band measurement,,From fitting to map,,From new raw data
120,10 microns (ISO),0.147,+/-30  %,Jy,3.0E13,0.147,0.0441,0.0441,,,+/-4.41E-02,Jy,2001A&A...379..823K,uncertainty,10         microns,Broad-band measurement,,Flux in fixed aperture,"Aperture 52""",From new raw data
123,10.8 microns MIRLIN,142.0,+/-8,milliJy,2.78E13,0.142,0.008,0.008,,,+/-8.00E-03,Jy,2004ApJ...605..156G,statistical error,10.8   microns,Broad-band measurement,,Flux in fixed aperture,"1.5"" diam aperture",From new raw data
127,11.3 microns Spitzer,9.771E-12,+/-0.223E-12,erg/s/cm^2^,2.65E13,0.0369,8.42E-4,8.42E-4,,,+/-8.42E-04,Jy,2014ApJ...790..124S,uncertainty,11.3 microns,Broad-band measurement,,From fitting to map,,From new raw data
128,W3 (WISE),4.587,+/-0.015,mag,2.59E13,0.463,0.0064,0.0064,,,+/-6.40E-03,Jy,2014A&A...570A.110Z,uncertainty,11.56 microns,Broad-band measurement,15 34 57.24 +23 30 11.4 (J2000),From fitting to map,,Averaged from previously published data
129,12 microns WISE AB,9.66,+/-0.10,mag,2.54E13,0.497,0.0458,0.0458,,,+/-4.58E-02,Jy,2014ApJS..212...18B,uncertainty,118100   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aperture; PSF corr",From new raw data; Extinction-corrected for Milky Way
130,12 microns WISE AB,9.66,+/-0.10,mag,2.54E13,0.496,0.0457,0.0457,,,+/-4.57E-02,Jy,2014ApJS..212...18B,uncertainty,118100   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aperture; PSF corr",From new raw data
131,12 microns (ISO),0.6,+/-30  %,Jy,2.52E13,0.6,0.18,0.18,,,+/-1.80E-01,Jy,2001A&A...379..823K,uncertainty,12         microns,Broad-band measurement,,Flux in fixed aperture,"Aperture 52""",From new raw data
132,12 microns (IRAS),0.61,+/-0.021,Jy,2.5E13,0.61,0.021,0.021,,,+/-2.10E-02,Jy,2003AJ....126.1607S,1 sigma,12   microns,Broad-band measurement,15 34 57.1 +23 30 10 (J2000),Total flux,"Size, Method, Flag codes: RI;see paper",From reprocessed raw data
133,12 microns (IRAS),0.4837,+/-5   %,Jy,2.5E13,0.484,0.0242,0.0242,,,+/-2.42E-02,Jy,1990IRASF.C...0000M,uncertainty,12        microns,Broad-band measurement,153246.8 +234007 (B1950),Flux in fixed aperture,IRAS quality flag = 3,From new raw data
134,12 microns (IRAS),0.64,+/-0.029,Jy,2.5E13,0.64,0.029,0.029,,,+/-2.90E-02,Jy,1989AJ.....98..766S,rms noise,12         microns,Broad-band measurement,153246.3 +234008 (B1950),Integrated from scans,Marginally resolved with 0.77' beam,From reprocessed raw data
136,H_2S(2) (Spitzer),4.526E-13,+/-0.756E-13,erg/s/cm^2^,2.44E13,0.00185,3.1E-4,3.1E-4,,,+/-3.10E-04,Jy,2014ApJ...790..124S,uncertainty,12.3 microns,Broad-band measurement,,From fitting to map,,From new raw data
142,14 microns (IRS),0.93,,Jy,2.14E13,0.93,,,,,,Jy,2007ApJ...659..296L,no uncertainty reported,14   microns,Broad-band measurement,,Flux integrated from map,S/N = 150,From reprocessed raw data
147,15 microns (Spitzer),1116.3,,milliJy,2.0E13,1.12,,,,,,Jy,2009ApJS..182..628V,no uncertainty reported,15 microns,Broad-band measurement,,Flux integrated from map,From IRS spectra with 3.3% bandpass,From new raw data
148,LW3 (ISOCAM),765.0,+/-20,milliJy,2.0E13,0.765,0.153,0.153,,,+/-1.53E-01,Jy,2004A&A...419..501F,estimated error,15.0   microns,Broad-band measurement,,Flux in fixed aperture,"2."" diameter aperture",From reprocessed raw data
149,15 microns (ISO),1.14,+/-30  %,Jy,1.98E13,1.14,0.342,0.342,,,+/-3.42E-01,Jy,2001A&A...379..823K,uncertainty,15         microns,Broad-band measurement,,Flux in fixed aperture,"Aperture 52""",From new raw data
154,17 microns Spitzer,1.1447E-11,+/-0.417E-12,erg/s/cm^2^,1.76E13,0.0651,0.00237,0.00237,,,+/-2.37E-03,Jy,2014ApJ...790..124S,uncertainty,17.0 microns,Broad-band measurement,,From fitting to map,,From new raw data
